/about,,"We're a small but mighty team of public servants and outside experts in user research and design. Together, we're reimagining","Somos un equipo pequeño pero poderoso de los funcionarios públicos y expertos externos en la investigación y el diseño de usuario. Juntos, estamos reimaginando",我们是外部公共官员和研究和设计用户专家组成的小而强大的团队。总之，我们reimagining
/about,,CA.gov</a> with and for the people of California.,CA.gov</a> con y para la gente de California.,CA.gov </a>，提供和加州人民。
/about,,Our first step: Make CA.gov easier for Californians to use. We've been working to help you access the services and information you need since December 2019.,Nuestro primer paso: hacer CA.gov más fácil para los californianos a su uso. Hemos estado trabajando para ayudarle a acceder a los servicios e información que necesita desde diciembre del año 2019.,我们第一步：制作CA.gov容易加州使用。我们一直在努力帮助您访问从2019十二月需要的服务和信息。
/about,,We're sharing our insights on our,Estamos compartiendo nuestras ideas en nuestra,我们分享我们的想法在我们的
/about,,blog,Blog,博客
/about,,Twitter,Gorjeo,颤音
/about,,Our work in progress will live on,Nuestro trabajo en progreso vivirá,我们正在进行的工作现场
/about,,GitHub,GitHub,GitHub上
/about,,"and this website,","y este sitio web,",而这个网站，
/about,,About Alpha.CA.gov,Sobre Alpha.CA.gov,关于Alpha.CA.gov
/services/find-minimum-wage-your-city,,Find the minimum wage in your city,Encuentre el salario mínimo en su ciudad,查找您所在城市最低工资标准
/services/find-minimum-wage-your-city,,Find the minimum wage in your city - Alpha.CA.gov,Encuentre el salario mínimo en su ciudad - Alpha.CA.gov,在城市中找到的最低工资标准 -  Alpha.CA.gov
/services/find-minimum-wage-your-city,,Find the minimum wage in your California city and the State of California. Compare your city's minimum wage to other cities in California.,Encuentre el salario minimo en su ciudad y el Estado de California. Compare el salario minimo en su ciudad a otras ciudades en California.,在城市中找到的最低工资和加利福尼亚州。比较在城市中加州其他城市的最低工资标准。
/services/find-minimum-wage-your-city,,Please enter your city or zip code:,Por favor introduzca su ciudad o código postal:,请输入您的城市或邮政编码：
/services/find-minimum-wage-your-city,,Please enter a city or zip code in California.,Por favor introduzca la ciudad o código postal en California:,请进入加州城市或邮政编码：
/services/find-minimum-wage-your-city,,Find minimum wage,Encuentre el salario minimo,找到最低工资
/services/find-minimum-wage-your-city,,California minimum wage in 2020,Salario mínimo de California en 2020,在2020年加利福尼亚州的最低工资
/services/find-minimum-wage-your-city,,Minimum wage depends on the city where you work. Some cities have the same minimum wage as the State.,El salario mínimo depende de la ciudad donde trabaja. Algunas ciudades tienen el mismo salario mínimo que el Estado de California.,最低工资取决于他工作的城市。一些城市具有相同的最低工资标准为加利福尼亚州。
/services/find-minimum-wage-your-city,,Employers with 25 or fewer employees,Empleadores con 25 o menos empleados,有25名或更少的员工的雇主
/services/find-minimum-wage-your-city,,Employers with 26 or more employees,Empleadores con 26 o más empleados,有26名以上雇员的雇主
/services/find-minimum-wage-your-city,,$12/hour*,$12/hora*,$ 12 /小时*
/services/find-minimum-wage-your-city,,$13/hour*,$13/hora*,$ 13 /小时*
/services/find-minimum-wage-your-city,,Compare minimum wage across cities,Comparte el salario minimo entre ciudades,分享城市之间的最低工资标准
/services/find-minimum-wage-your-city,,These California cities and counties have their own minimum wage laws.,Estas ciudades y condados de California tienen sus propias leyes de salario mínimo,这些市县在加利福尼亚州有自己的最低工资法
/services/find-minimum-wage-your-city,,More about the,Más sobre el,更多关于
/services/find-minimum-wage-your-city,,minimum wage,salario mínimo,最低工资标准
/services/find-food-banks-near-you,,Find food banks near you - Alpha.CA.gov,Encuentre bancos de alimentos cerca de usted - Alpha.CA.gov,寻找食物银行您身边 -  Alpha.CA.gov
/services/find-food-banks-near-you,,We'll help you find the California food banks and pantries closest to you.,Le ayudaremos a encontrar los bancos de alimentos y despensas más cercanos a usted.,我们将帮助您寻找食物银行和最接近茶水间给你。
/services/find-food-banks-near-you,,Find food banks near you,Encuentre bancos de alimentos cerca de usted,查找您附近的食品银行
/services/find-food-banks-near-you,,We'll help you find the food banks and pantries closest to you.,Le ayudaremos a encontrar los bancos de alimentos y despensas más cercanos a usted.,我们将帮助您寻找食物银行和最接近茶水间给你。
/services/find-food-banks-near-you,,Please enter your city or zip code:,Por favor introduzca su ciudad o código postal:,请输入您的城市或邮政编码：
/services/find-food-banks-near-you,[lang-form-button],Search,Buscar,搜索
/services/find-food-banks-near-you,,Please enter a city or zip code in California.,Por favor introduzca una ciudad o código postal:,请输入城市名称或邮政编码：
/services/find-food-banks-near-you,,Other resources,Otros recursos,其他资源
/services/find-food-banks-near-you,,Text us to find food close to you,Envíe un mensaje de texto para encontrar comida cerca de usted,发送短信去寻找食物靠近你
/services/find-food-banks-near-you,,Text us anytime at,Envíenos un mensaje de texto en cualquier momento al,在任何时候发送短信
/services/find-food-banks-near-you,,with your city name or zip code.,con el nombre de su ciudad o código postal.,与你的城市名称或邮政编码的名称。
/services/find-food-banks-near-you,,We'll respond with the food bank closest to you.,Responderemos con el banco de alimentos más cercano a usted.,我们到离您最近的食物银行回应。
/services/find-food-banks-near-you,,Call 211 with your questions,Llame al 211 con sus preguntas,拨打211与您的问题
/services/find-food-banks-near-you,,Phone number:,Numero de teléfono,电话号码
/services/find-food-banks-near-you,,"Hours: 24 hours a day, every day of the year","Horario: 24 horas al día, todos los días del año",营业时间：每天24小时，一年中的每一天
/services/find-food-banks-near-you,,"is a source of local social services throughout the United States. A trained expert can help you find many resources, including:","es un sito web que te conecta a varios recursos y servicios sociales en todo Estados Unidos. Un experto capacitado puede ayudarle a encontrar muchos recursos, incluyendo:",这是一个网站，在美国各地您连接到各种资源和社会服务。一个训练有素的专家可以帮助您找到很多资源，包括：
/services/find-food-banks-near-you,,food programs,programas de alimentación,供餐方案
/services/find-food-banks-near-you,,shelter and housing,servicios de refugio y vivienda,住房和住房服务
/services/find-food-banks-near-you,,emergency information,información sobre emergencias,紧急信息
/services/find-food-banks-near-you,,help with your job search,ayuda con su búsqueda de empleo,你找工作的帮助
/services/find-food-banks-near-you,,healthcare and shots,cuidado de salud y vacunas,医疗保健和疫苗
/services/state-california-employee-holidays,,State of California employee holidays,Días festivos para empleados estatales de California,假期在加利福尼亚州的员工
/services/state-california-employee-holidays,,State of California employee holidays - Alpha.CA.gov,Días festivos para empleados estatales de California - Alpha.CA.gov,假期在加利福尼亚州的员工 -  Alpha.CA.gov
/services/state-california-employee-holidays,,Upcoming holidays for State of California employees.,Días festivos para empleados estatales de California,假期在加利福尼亚州的员工
/services/state-california-employee-holidays,,Next holiday,Proxímo día festivo,下个假期
/services/state-california-employee-holidays,,Add State holidays to your calendar,Agregue los días festivos a su calendario,将假日添加到您的日历
/services/state-california-employee-holidays,,Upcoming holidays,Proxímos días festivos,即将到来的假期
/services/state-california-employee-holidays,,State of California employees have paid holidays on the following dates.,Empleados estatales de California tienen los días festivos pagados en las próximas fechas.,加利福尼亚州员工在不久的将来有薪假期。
/services/state-california-employee-holidays,[Date],Date,Fecha,日期
/services/state-california-employee-holidays,,Day of the week,Día de la semana,天
/services/state-california-employee-holidays,,Holiday,Día festivo,节日
/services/state-california-employee-holidays,,Other holidays,Días festivos adicionales,其他节日
/services/state-california-employee-holidays,,Most employees get,La mayoría de los empleados reciben,大多数员工接受
/services/state-california-employee-holidays,,1 personal holiday,Un día libre,一天
/services/state-california-employee-holidays,,1 holiday credit (8 hours),Un crédito de vacaciones (8 horas),一个长假信贷（8小时）
/services/state-california-employee-holidays,,"July 1, 2020, to June 30, 2021",Entre el 1 de julio de 2020 a 31 de junio de 2021,与2020年7月1日至31月2021
/services/state-california-employee-holidays,,"July 1, 2021, to June 30, 2022",Entre el 1 de julio de 2021 a 31 de junio de 2022,与2021年7月1日至31月2022
/services/state-california-employee-holidays,,More details about holidays,Más información sobre días festivos del Estado,状态节假日更多信息
/services/state-california-employee-holidays,,Weekend holidays,Días festivos en fines de semana,在周末假期
/services/state-california-employee-holidays,,"When a holiday is on a Saturday, most employees get one holiday credit (eight hours of leave).","Cuando un día festivo cae en un sábado, la mayoría de empleados reciben un crédito de vacaciones (8 horas de permiso laboral).",当公众假期适逢星期六，大多数员工获得休假信贷（8小时工作证）。
/services/state-california-employee-holidays,,"When a holiday is on a Sunday, most employees have a paid holiday on the following Monday.","Cuando un día festivo cae en un domingo, la mayoría de empleados tienen libre el lunes siguiente después del día festivo.",当公众假期适逢星期日，大部分员工都是免费下星期一节后。
/services/state-california-employee-holidays,,Holiday credits,Crédito de vacaciones,度假信贷
/services/state-california-employee-holidays,,Spend your holiday credit on the day or hours you choose.,Aplice su crédito de vacaciones durante el día o horas que usted elige.,在您选择的日或小时Aplice您的假期信用。
/services/state-california-employee-holidays,,Personal holidays,Días de vacaciones personales,个人休假日
/services/state-california-employee-holidays,,Most employees get one personal holiday every fiscal year (July 1 to June 30).,La mayoría de empleados reciben un día de vacaciones personal cada año fiscal (entre el 1 de julio a 30 de junio).,大多数员工收到每一会计年度（从7月1日至6月30日），个人休假一天。
/services/state-california-employee-holidays,,Take your personal holiday on the day you choose.,Tome su día personal en el día que usted elige.,以你所选择的一天，你的个人一天。
/services/state-california-employee-holidays,,Most employees start collecting personal holidays after they've worked with the State for six months.,La mayoría de los empleados obtienen un dia personal después de haber trabajado con el Estado durante seis meses.,大多数员工有个人一天与国家工作6个月后。
/services/state-california-employee-holidays,,holiday credit,Crédito de vacaciones,度假信贷
/services/state-california-employee-holidays,,2020 holidays,Días festivos de 2020,2020和节假日
/services/state-california-employee-holidays,,2021 holidays,Días festivos de 2021,2021和节假日
/services/request-birth-certificate,,Request a birth certificate,Solicitar un certificado de nacimiento,申请出生证明
/services/request-birth-certificate,,Request a birth certificate - Welcome to Alpha.CA.gov,Solicitar un certificado de nacimiento - Bienvenido a Alpha.CA.gov,申请出生证明 - 欢迎Alpha.CA.gov
/services/request-birth-certificate,,"Request a California birth certificate in person, by mail, or online.","Solicitar un certificado de nacimiento en persona, por correo, o por internet",申请出生证的人，通过邮件，或在线
/services/request-birth-certificate,,Request a birth certificate - Alpha.CA.gov,Solicitar un certificado de nacimiento - Alpha.CA.gov,申请出生证明 -  Alpha.CA.gov
/services/request-birth-certificate,,There are three main ways to order a California birth certificate.,Hay tres maneras de pedir un certificado de nacimiento de California.,有三种方法，要求在加州出生证明。
/services/request-birth-certificate,,Visit a county office,Visita una oficina del condado,访问县委办公室
/services/request-birth-certificate,,You have to apply with the county where the person was born.,Tiene que presentar su solicitud con el condado donde nació la persona.,您必须在人出生县提交申请。
/services/request-birth-certificate,,Cost: $28,Costo: $28,费用：$ 28日
/services/request-birth-certificate,,"Processing time: Varies, but could be as soon as the same day","Tiempo de procesamiento: Varía, pero podría ser tan pronto como el mismo día",处理时间：不定，但可能是早在当天
/services/request-birth-certificate,,You'll sign a sworn statement in front of a county worker.,Firmará una declaración jurada frente a un trabajador del condado.,他将签订一个县工人面前宣誓声明。
/services/request-birth-certificate,,"You may need to bring a driver's license, passport, or other photo ID from the government that hasn't expired.","Es posible que deba traer una licencia de conducir, pasaporte u otra identificación con foto del gobierno que no haya expirado.",您可能需要携带驾驶执照，护照或尚未到期的政府的其他照片的身份证明。
/services/request-birth-certificate,,Mail a request,Envíe una solicitud por correo,发送通过邮件的请求
/services/request-birth-certificate,,"You may have to find a notary to sign your application, depending on whether you want an",Debe contratar a un notario para obtener una,你必须聘请一个公证人
/services/request-birth-certificate,,authorized or informational copy,copia autorizada.,授权的拷贝。
/services/request-birth-certificate,,Cost: $25 (plus the price of notarization),Costo: $25 (más el precio de la notarización),费用：$ 25（加公证的价格）
/services/request-birth-certificate,,Processing time: 3 to 4 weeks or more (expected to take longer in 2020 because of the demand for,Tiempo de procesamiento: 3 a 4 semanas o más (se espera que tome más tiempo en 2020 debido a la demanda de,处理时间：3〜4周或更长的时间（比预期在2020年至需要更长的时间，因为需求
/services/request-birth-certificate,,Real ID,Real ID,真实身份
/services/request-birth-certificate,,Apply online,Solicitar por internet,在线申请
/services/request-birth-certificate,,You can apply online through the private companies VitalChek and Vital Records Now.,Puede solicitar en línea a través de empresas privadas VitalChek y Vital Records Now,您可以通过私人公司和重要记录现在VitalChek网上申请
/services/request-birth-certificate,,Cost: $31–$110,Costo: $31-110,费用：$ 31-110
/services/request-birth-certificate,,Processing time: 2 to 3 weeks,Tiempo de procesamiento: 2-3 semanas,处理时间：2-3周
/services/request-birth-certificate,,More about requesting a,Más información sobre cómo solicitar un,如何请求更多信息
/services/request-birth-certificate,,birth certificate,certificado de nacimiento,出生证明
/services/hire-licensed-contractor-home-improvements,,Hire a licensed contractor for home improvements,Contratar un contratista con licencia para mejorar su hogar,聘请有执照的承包商，以提高你的家
/services/hire-licensed-contractor-home-improvements,,Hire a licensed contractor for home improvements - Alpha.CA.gov,Contratar un contratista con licencia para mejorar su hogar - Alpha.CA.gov,聘请有执照的承包商，以提高你的家 -  Alpha.CA.gov
/services/hire-licensed-contractor-home-improvements,,Follow these suggested steps to make home improvements the safe way and protect your home and your money.,Siga estos pasos sugeridos para que las mejoras en su hogar sean de una manera segura y a la vez proteja su hogar y su dinero.,请按照以下步骤建议改善住房的安全，并保护您的家庭的时间和金钱。
/services/hire-licensed-contractor-home-improvements,,Decide what type of contractor you need,Decida qué tipo de contratista necesita,决定什么类型的承包商需求
/services/hire-licensed-contractor-home-improvements,,"<p><strong>General Engineering Contractors</strong> and <strong>General Building Contractors</strong> usually manage subcontractors for a job.</p><p><strong>Specialty Contractors</strong> are often hired to do a single job, such as roofing or plumbing.</p>","<p><strong> Los contratistas de ingeniería general </strong> y <strong> los contratistas generales de construcción </strong> usualmente supervisan proyectos y dirigen trabajos de subcontratistas.</p><p><strong> Contratistas especializados </strong> a veces son contratados para hacer un solo trabajo, como techos o plomería.</p>",<p> <strong>承包商一般工程</ strong>和<strong>常规施工的承包商</strong>通常兼管项目和分包商的直接工作。</ p> <p> <strong>专门承包商< /strong>有时被雇用来执行一项工作，如屋顶或管道。</ p>
/services/hire-licensed-contractor-home-improvements,,Choose the type of contractor you need,Elija el tipo de contratista que necesite,选择承包商的类型，你需要
/services/hire-licensed-contractor-home-improvements,,Check if you need a building permit,Compruebe si necesita un permiso de construcción,检查您是否需要建筑许可证
/services/hire-licensed-contractor-home-improvements,,"You must get a building permit from your local building department for new construction, remodeling, or repairs.","Debe obtener un permiso de construcción de su departamento de construcción local para nuevas construcciones, remodelaciones y reparaciones.",您必须向当地建设部门进行新的建设取得建筑许可证，改造和维修。
/services/hire-licensed-contractor-home-improvements,,Check with your local building department,Consulte con su departamento de construcción local,请与当地建设部门
/services/hire-licensed-contractor-home-improvements,,"For repairs, your homeowners insurance might cover the cost and suggest contractors for you.","Si es dueño de su casa, su cobertura de seguro de vivienda podría cubrir el costo y conseguir contratistas por usted.",如果你拥有你的家，你的房屋保险覆盖范围可以覆盖成本承办，并得到你。
/services/hire-licensed-contractor-home-improvements,,Find licensed contractors in your city,Encuentre contratistas con licencia en su ciudad,查找您所在城市承办许可
/services/hire-licensed-contractor-home-improvements,,Look up their licenses,Verifique la licencia de su contratista,检查您的承包商执照
/services/hire-licensed-contractor-home-improvements,,Contractors must have a license to do work that costs $500 or more.,Cada contratista debe tener una licencia para hacer cualquier tipo de trabajo que cuesta $500 dólares o más.,每个承包商必须有许可证才能做到这一点花费$ 500美元以上的任何工作。
/services/hire-licensed-contractor-home-improvements,,"To look up their licenses, you could:","Para verificar la licencia de su contratista, podría:",要检查你的承包商的许可，您可以：
/services/hire-licensed-contractor-home-improvements,,Call (800) 321-2752,Llamar a (800) 321-2753,电话（800）321-2753
/services/hire-licensed-contractor-home-improvements,,Check your contractors' licenses online,Revise la licencias de sus contratistas por internet,检查您的承包商在线许可
/services/hire-licensed-contractor-home-improvements,,Compare your contractors' costs for the same project.,Compare los tres estimados y costos proveídos por el mismo proyecto.,比较三项费用估计和由同一项目提供。
/services/hire-licensed-contractor-home-improvements,,Ask your contractor to share their insurance,Pídele a su contratista prueba de seguro,问问你的承包商保险证明
/services/hire-licensed-contractor-home-improvements,,You might be held responsible for workers' injuries if your contractor doesn't have the right insurance.,Usted podría ser responsable de las heridas de los trabajadores si su contratista no tiene el seguro correcto.,你可以负责工人的伤害，如果你的承包商没有正确的保险。
/services/hire-licensed-contractor-home-improvements,,Ask them to share the name of their insurance carrier or copies of both their:,Pídales que compartan el nombre de su compañía de seguros o copias de su:,让他们分享您的保险公司或您的副本名称：
/services/hire-licensed-contractor-home-improvements,,Workers' compensation insurance,Seguro de compensación de trabajadores,职工赔偿保险
/services/hire-licensed-contractor-home-improvements,,General liability insurance,Seguro de responsabilidad civil general,一般责任保险
/services/hire-licensed-contractor-home-improvements,,Your homeowners insurance may or may not cover the costs of injuries. But your insurance provider should be able to help you check your contractor's insurance.,Su seguro de propietarios puede o no cubrir los costos de heridas. Pero su proveedor de seguros podrá ayudarle a verificar el seguro de su contratista.,您的家庭财产保险可能会或可能不会覆盖损伤的费用。但是，你的保险供应商可以帮助您确认您的承包商保险。
/services/hire-licensed-contractor-home-improvements,,Confirm their contact information,Confirme su información de contacto,确认您的联系信息
/services/hire-licensed-contractor-home-improvements,,"Make sure your contractor has a current business address and phone number. If their work needs repair, you'll want to be able to find them after you've paid the last bill.","Asegúrese que su contratista tenga una dirección comercial y un número de teléfono válido. Así si su trabajo necesita reparos después que el proyecto haya terminado, usted ya tendrá información de contacto después de haber pagado la última factura.",请确保你的承包商有商务地址和有效的电话号码。因此，如果该项目建成后，你的工作需要修理，您已经将联系人信息，您所支付的最后一笔之后。
/services/hire-licensed-contractor-home-improvements,,Contact their references,Póngase en contacto con las referencias del contratista,联系承包商的引用
/services/hire-licensed-contractor-home-improvements,,Sign a contract,Firme un buen contrato,签好合同
/services/hire-licensed-contractor-home-improvements,,"A good contract includes how and when the work will be done, the materials used, and the total cost. It will protect you if you have a disagreement with your contractor.","Un buen contrato debe incluir cómo y cuándo se realizará el trabajo, los materiales utilizados y el costo total. Esto le protegerá si tiene un desacuerdo con su contratista.",好的合同应该包括如何以及何时工作将完成，使用的材料和总成本。如果你有你的承包商分歧这将保护你。
/services/hire-licensed-contractor-home-improvements,,What to look for in your contract,Qué buscar en su contrato,如何查找在你的合同
/services/hire-licensed-contractor-home-improvements,,"Pay no more than $1,000 or 10 percent down, whichever is less","No pague más de $1,000 o el 10% de la cantidad total en su depósito. Escoja la cantidad que sea menos","不支付超过$ 1,000或存款总额的10％。选择量少"
/services/hire-licensed-contractor-home-improvements,,"By law, a contractor can't charge you a downpayment of more than $1,000 or 10 percent of your total, whichever is less.","Por ley, un contratista no le puede cobrar un depósito que sobresalga $1,000 o 10% de la cantidad total que costará el proyecto. Por ejemplo, si el proyecto le costará $5,000, el contratista no le puede requerir que pague $1,000.00 de depósito, ya que usted puede elegir darle $500.00 (10 por ciento de $5,000) por ser la cantidad más baja.","根据法律规定，承包商可以不收取突出$ 1,000或总金额将花费项目的10％的定金。例如，如果该项目将耗资$ 5,000，承包人不得将要求您支付$ 1,000.00定金，你可以选择给$ 500.00（$ 5,000 10％）用于为最低量。"
/apply-for-disability-insurance-benefits,,Apply for disability insurance benefits,Solicitar beneficios por incapacidad,申请伤残抚恤金
/apply-for-disability-insurance-benefits,,Apply for disability insurance benefits - Alpha.CA.gov,Solicitar beneficios por incapacidad - Alpha.CA.gov,申请伤残津贴 -  Alpha.CA.gov
/apply-for-disability-insurance-benefits,,Follow these steps to apply for disability insurance benefits.,Siga estos pasos para solicitar el Seguro de Incapacidad (SDI) del Estado.,请按照以下步骤申请国家残疾保险（SDI）。
/apply-for-disability-insurance-benefits,,You could possibly get these short-term payments if you can’t work for at least eight days because you’re:,Usted podría obtener estos pagos a corto plazo si no puede trabajar por al menos ocho días debido a:,你可以得到这些短期的支付，如果无法为在至少八个天内支付工作：
/apply-for-disability-insurance-benefits,,Sick,una enfermedad,疾病
/apply-for-disability-insurance-benefits,,injured,una lesión,伤
/apply-for-disability-insurance-benefits,,pregnant,por embarazo,怀孕
/apply-for-disability-insurance-benefits,,Check if you qualify,Compruebe si califica,检查您是否有资格
/apply-for-disability-insurance-benefits,,If your employer has a,Si su empleador tiene un,如果你的雇主有
/apply-for-disability-insurance-benefits,,Voluntary Plan,plan Voluntario,志愿者计划
/apply-for-disability-insurance-benefits,,", talk to your human resources office to apply for disability benefits.",", hable con su oficina de recursos humanos para solicitar los beneficios por incapacidad.",谈谈你的人力资源办公室申请伤残津贴。
/apply-for-disability-insurance-benefits,,If you're self-employed,Si usted trabaja por cuenta propia,如果你是自雇人士
/apply-for-disability-insurance-benefits,,", you can",", usted puede",，你可以
/apply-for-disability-insurance-benefits,,apply for disability insurance,aplicar para el seguro de incapacidad,申请伤残保险
/apply-for-disability-insurance-benefits,,File your claim,Presentar su solicitud,提交申请
/apply-for-disability-insurance-benefits,,File online,Presentar por internet,目前在线
/apply-for-disability-insurance-benefits,,File by mail,Presentar por correo,通过邮件提交
/apply-for-disability-insurance-benefits,,Ask your doctor to certify your disability,Pregúntele a su doctor para certificar su discapacidad,问问你的医生，以证明他们的残疾
/apply-for-disability-insurance-benefits,,"A doctor, nurse, or physician's assistant has to certify your medical condition. They must submit a form within 49 days of the first day you couldn’t work because of your disability.","Un doctor, una enfermera o un asistente médico debe certificar su condición médica. Tienen que presentar un formulario dentro de los 49 días del primer día que no se podía trabajar debido a su discapacidad.",医生，护士或医师助理必须证明您的健康状况。他们必须在第一天49天提交表单，你不能因为自己的残疾的工作。
/apply-for-disability-insurance-benefits,,Ask them what they need from you to submit the form for disability insurance.,Pregúnteles qué necesitan de usted para enviar el formulario de seguro por discapacidad.,请您需要提交表单伤残保险是什么。
/apply-for-disability-insurance-benefits,,Read our response,Lee nuestra respuesta en el correo,请阅读我们的邮件响应
/apply-for-disability-insurance-benefits,,"Within 14 days, we will email you or send you a letter to let you know if you can get disability benefits.","Dentro de 14 días, le enviaremos una carta para hacerle saber si puede obtener beneficios por incapacidad.",在14天内，我们将发送给你一封信，让你知道，如果你能得到残疾津贴。
/apply-for-disability-insurance-benefits,,Check if you can get disability insurance benefits,Compruebe si puede obtener beneficios de seguro por discapacidad,检查你是否能得到残疾保险金
/apply-for-disability-insurance-benefits,,If you do qualify:,Si cumple con los requisitos:,如果您符合要求：
/apply-for-disability-insurance-benefits,,You can get paid eight days after the start of your claim.,Se le puede pagar ocho días después del inicio de su reclamo.,您可以要求开始后得到报酬八天。
/apply-for-disability-insurance-benefits,,You can choose to get paid through a,Usted puede elegir a recibir el pago a través de una,您可以选择通过收取货款
/apply-for-disability-insurance-benefits,,debit card</a> or checks in the mail. (Checks take 7 to 10 days to mail.),tarjeta de débito</a> o cheques por correo. (Toman entre 7 a 10 días en llegar por el correo.),</A>卡或借记卡检查通过邮件。 （他们需要7〜10天通过邮件到达。）
/apply-for-disability-insurance-benefits,,If you don’t qualify:,Si no califica,如果你不符合条件
/apply-for-disability-insurance-benefits,,You can tell us you disagree with the decision.,Usted puede decirnos si no está de acuerdo con la decisión.,你可以告诉我们，如果您不同意此决定。
